equipment_type,model,site_id,season,region,month,rental_days,previous_rental_count,avg_engine_hours,avg_idle_hours,utilization_rate,target_expected_demand
Motor Grader,140,SITE_029,PostMonsoon,North,8,67,22,5.09,1.47,0.7762,40.0
Bulldozer,D8,SITE_002,Winter,South,6,8,22,8.32,2.83,0.7459,42.0
Compact Track Loader,259D3,SITE_049,PostMonsoon,North,10,66,17,5.63,1.27,0.8157,29.0
Wheel Loader,966,SITE_003,Summer,North,7,27,10,4.46,3.85,0.5367,47.0
Excavator,336,SITE_009,Monsoon,West,2,66,8,8.27,3.5,0.7027,34.0
Excavator,336,SITE_040,Winter,East,6,60,43,7.97,1.09,0.8794,55.0
Excavator,336,SITE_026,Winter,East,10,68,37,8.19,3.77,0.6849,53.0
Excavator,336,SITE_047,Summer,South,10,66,46,4.99,3.41,0.5941,66.0
Excavator,320 GC,SITE_025,PostMonsoon,West,8,7,45,6.05,1.04,0.8531,59.0
Wheel Loader,950 GC,SITE_033,PostMonsoon,West,10,47,29,10.04,2.87,0.7777,44.0
Excavator,336,SITE_033,Winter,North,7,68,25,8.66,2.77,0.7574,50.0
Wheel Loader,950 GC,SITE_037,PostMonsoon,East,3,7,6,7.93,3.31,0.7053,32.0
Motor Grader,140,SITE_027,Summer,North,10,48,14,5.41,3.69,0.5948,38.0
Wheel Loader,966,SITE_030,Summer,North,7,21,44,5.42,3.83,0.5861,56.0
Motor Grader,140,SITE_022,Winter,East,10,51,7,7.2,1.66,0.813,29.0
Backhoe Loader,420,SITE_028,Summer,North,1,7,28,6.99,3.45,0.6693,37.0
Compact Track Loader,259D3,SITE_003,PostMonsoon,East,8,33,10,7.39,3.08,0.7061,26.0
Bulldozer,D8,SITE_032,Winter,South,9,58,13,5.76,2.49,0.6981,35.0
Excavator,320 GC,SITE_037,Summer,South,1,65,3,7.52,1.15,0.8669,44.0
Wheel Loader,950 GC,SITE_002,Summer,South,10,38,7,5.69,3.02,0.6537,38.0
Articulated Truck,745,SITE_017,PostMonsoon,East,8,75,35,8.43,2.61,0.7639,42.0
Wheel Loader,950 GC,SITE_020,Winter,North,4,25,27,7.58,1.68,0.8187,39.0
Motor Grader,140,SITE_041,Summer,South,7,88,41,4.96,2.02,0.7104,44.0
Backhoe Loader,420,SITE_048,Summer,South,12,8,2,4.65,3.69,0.5575,27.0
Bulldozer,D6,SITE_032,PostMonsoon,North,9,25,49,9.93,3.57,0.7355,53.0
Wheel Loader,966,SITE_011,Summer,South,4,44,41,8.25,1.03,0.8892,60.0
Compact Track Loader,259D3,SITE_035,Summer,West,2,88,3,8.84,2.96,0.7495,28.0
Excavator,320 GC,SITE_014,Summer,South,4,14,8,9.05,1.92,0.8246,43.0
Wheel Loader,950 GC,SITE_022,PostMonsoon,East,6,57,9,8.42,3.38,0.7132,43.0
Excavator,320 GC,SITE_005,Winter,West,3,10,36,9.38,1.13,0.8924,49.0
Bulldozer,D6,SITE_006,PostMonsoon,South,9,43,25,6.32,2.66,0.7038,42.0
Wheel Loader,966,SITE_021,Winter,North,1,73,19,7.9,3.81,0.6747,41.0
Backhoe Loader,420,SITE_003,Winter,East,8,38,48,10.93,1.42,0.885,45.0
Excavator,320 GC,SITE_040,Summer,West,11,54,40,6.06,3.43,0.6385,56.0
Wheel Loader,950 GC,SITE_050,Summer,South,12,13,37,9.59,2.95,0.7647,53.0
Wheel Loader,950 GC,SITE_023,PostMonsoon,South,2,72,33,8.05,1.11,0.879,50.0
Compact Track Loader,259D3,SITE_022,Monsoon,East,6,55,43,9.76,2.08,0.8243,36.0
Bulldozer,D6,SITE_044,Winter,West,7,74,7,4.36,2.59,0.6271,27.0
Wheel Loader,950 GC,SITE_040,Winter,South,2,36,20,9.57,1.81,0.8407,36.0
Bulldozer,D6,SITE_026,Summer,East,7,15,13,6.86,1.52,0.8187,40.0
Excavator,320 GC,SITE_047,Monsoon,South,6,54,26,8.62,1.84,0.8241,42.0
Motor Grader,140,SITE_003,Winter,East,3,63,30,4.81,1.14,0.8088,38.0
Excavator,320 GC,SITE_030,Monsoon,East,4,75,13,4.12,3.29,0.556,29.0
Bulldozer,D6,SITE_023,Monsoon,East,6,75,37,4.32,2.12,0.6703,39.0
Backhoe Loader,420,SITE_019,Monsoon,South,1,75,46,5.14,1.21,0.8092,37.0
Wheel Loader,966,SITE_024,Winter,East,3,39,34,9.68,3.46,0.7365,47.0
Wheel Loader,950 GC,SITE_001,Summer,South,10,49,45,5.92,1.64,0.7826,54.0
Excavator,336,SITE_035,PostMonsoon,West,10,14,30,9.91,1.07,0.9026,59.0
Excavator,336,SITE_041,PostMonsoon,South,10,81,30,4.27,2.25,0.6548,57.0
Bulldozer,D6,SITE_009,Winter,South,3,55,36,6.89,2.12,0.765,43.0
Motor Grader,140,SITE_032,Winter,North,5,18,14,9.18,1.71,0.8426,31.0
Wheel Loader,966,SITE_048,Summer,East,11,25,37,4.08,3.72,0.5231,50.0
Compact Track Loader,259D3,SITE_007,Winter,East,4,89,48,4.58,1.28,0.7823,43.0
Bulldozer,D6,SITE_036,Summer,North,9,45,46,10.52,3.92,0.7283,56.0
Backhoe Loader,420,SITE_005,PostMonsoon,North,11,81,19,10.78,3.06,0.7787,33.0
Bulldozer,D8,SITE_007,Monsoon,West,8,48,10,9.75,3.12,0.7577,31.0
Bulldozer,D6,SITE_029,Summer,East,3,14,49,10.04,3.64,0.7339,54.0
Wheel Loader,966,SITE_036,Monsoon,South,3,67,45,7.91,2.27,0.7768,46.0
Backhoe Loader,420,SITE_019,PostMonsoon,East,3,51,14,6.84,2.71,0.7158,32.0
Compact Track Loader,259D3,SITE_039,Summer,North,12,68,26,10.08,1.67,0.8578,39.0
Bulldozer,D8,SITE_044,Summer,South,5,86,22,10.95,1.22,0.8997,51.0
Excavator,336,SITE_047,Summer,West,1,60,4,10.31,1.14,0.9007,53.0
Backhoe Loader,420,SITE_032,Winter,South,6,82,25,8.34,1.83,0.8199,32.0
Backhoe Loader,420,SITE_050,Winter,South,5,47,37,10.9,3.09,0.7789,34.0
Excavator,320 GC,SITE_009,Summer,West,4,83,29,5.9,1.4,0.8082,57.0
Compact Track Loader,259D3,SITE_002,Monsoon,South,2,11,34,9.44,2.44,0.7946,29.0
Excavator,320 GC,SITE_011,Summer,East,9,65,28,7.98,1.19,0.8702,54.0
Bulldozer,D6,SITE_038,PostMonsoon,West,7,59,38,9.3,2.13,0.8134,51.0
Bulldozer,D6,SITE_014,Summer,East,1,57,46,8.24,1.69,0.8302,55.0
Articulated Truck,745,SITE_039,Monsoon,East,2,60,4,7.64,3.56,0.6824,26.0
Bulldozer,D8,SITE_044,Summer,East,11,63,18,4.94,1.09,0.8197,49.0
Excavator,336,SITE_011,PostMonsoon,North,6,70,35,6.45,2.77,0.6997,62.0
Wheel Loader,950 GC,SITE_034,Winter,West,6,85,31,8.35,3.59,0.6996,41.0
Wheel Loader,966,SITE_024,Summer,East,6,59,3,6.3,2.9,0.6848,44.0
Wheel Loader,950 GC,SITE_047,Summer,North,7,86,32,6.8,3.09,0.6874,50.0
Compact Track Loader,259D3,SITE_003,Winter,North,11,38,20,9.75,2.04,0.8273,28.0
Backhoe Loader,420,SITE_022,Summer,East,1,11,42,6.49,3.68,0.6381,42.0
Compact Track Loader,259D3,SITE_026,Summer,North,9,62,31,5.1,2.13,0.7052,36.0
Excavator,320 GC,SITE_026,Winter,West,8,58,16,7.76,3.77,0.6728,40.0
Articulated Truck,745,SITE_002,Summer,East,11,62,8,8.81,3.53,0.7137,33.0
Excavator,336,SITE_038,PostMonsoon,North,9,34,11,7.95,3.52,0.6929,50.0
Compact Track Loader,259D3,SITE_017,Summer,South,9,74,11,9.52,2.5,0.7924,29.0
Wheel Loader,966,SITE_047,Monsoon,East,8,46,45,4.89,1.85,0.7255,48.0
Excavator,336,SITE_045,Monsoon,West,9,39,23,5.58,2.1,0.7268,38.0
Wheel Loader,966,SITE_030,PostMonsoon,East,8,61,10,4.56,2.57,0.6393,43.0
Bulldozer,D8,SITE_002,Winter,South,11,10,16,9.72,1.77,0.8457,39.0
Articulated Truck,745,SITE_038,PostMonsoon,East,9,72,16,7.75,2.43,0.7612,35.0
Backhoe Loader,420,SITE_004,PostMonsoon,South,1,26,13,4.8,2.83,0.6291,30.0
Bulldozer,D8,SITE_037,Monsoon,North,4,83,44,8.16,2.11,0.7947,49.0
Backhoe Loader,420,SITE_044,Monsoon,West,8,8,21,5.78,3.04,0.6551,22.0
Excavator,320 GC,SITE_009,PostMonsoon,North,8,44,36,6.44,3.79,0.6297,52.0
Compact Track Loader,259D3,SITE_034,Winter,North,3,7,41,9.05,1.14,0.8878,38.0
Articulated Truck,745,SITE_011,Summer,West,12,36,36,5.15,3.44,0.5993,45.0
Wheel Loader,966,SITE_025,Summer,East,9,24,41,7.16,3.14,0.6952,62.0
Wheel Loader,950 GC,SITE_038,Summer,North,1,31,18,10.3,2.15,0.8272,46.0
Wheel Loader,950 GC,SITE_039,PostMonsoon,East,6,73,8,9.11,3.08,0.7473,37.0
Wheel Loader,966,SITE_015,PostMonsoon,West,1,33,37,10.98,3.26,0.7713,56.0
Excavator,320 GC,SITE_004,Monsoon,East,10,11,11,6.39,3.46,0.6486,32.0
Wheel Loader,966,SITE_045,Winter,South,8,21,30,7.78,2.46,0.7598,49.0
Wheel Loader,950 GC,SITE_036,Winter,East,11,33,6,9.79,3.88,0.7163,30.0
Articulated Truck,745,SITE_038,Monsoon,South,7,53,27,10.63,1.46,0.8792,34.0
Compact Track Loader,259D3,SITE_033,PostMonsoon,South,12,49,13,4.72,3.76,0.5566,33.0
Bulldozer,D6,SITE_037,Winter,North,10,37,10,6.97,3.21,0.6847,29.0
Bulldozer,D6,SITE_026,Monsoon,South,6,63,2,10.09,2.56,0.7978,24.0
Articulated Truck,745,SITE_015,Summer,North,9,59,10,5.44,3.36,0.6179,32.0
Wheel Loader,966,SITE_025,Monsoon,North,6,8,8,6.43,3.21,0.6668,31.0
Excavator,320 GC,SITE_043,PostMonsoon,South,11,57,25,8.04,1.5,0.8431,48.0
Backhoe Loader,420,SITE_028,Monsoon,West,1,77,18,10.73,1.45,0.8812,29.0
Bulldozer,D8,SITE_022,Winter,North,8,55,8,8.17,1.2,0.8718,35.0
Wheel Loader,950 GC,SITE_032,Monsoon,West,1,51,30,7.3,2.69,0.7305,37.0
Excavator,336,SITE_001,Monsoon,North,2,72,29,7.37,2.49,0.7473,43.0
Articulated Truck,745,SITE_029,PostMonsoon,North,3,38,11,5.9,2.93,0.6678,34.0
Excavator,320 GC,SITE_023,PostMonsoon,South,2,13,30,6.86,2.66,0.7208,48.0
Articulated Truck,745,SITE_047,Summer,North,3,14,35,9.64,3.97,0.7084,44.0
Articulated Truck,745,SITE_046,PostMonsoon,South,4,43,22,6.84,1.97,0.7763,39.0
Excavator,320 GC,SITE_023,Summer,North,3,42,30,6.95,3.68,0.6539,51.0
Bulldozer,D6,SITE_020,PostMonsoon,East,2,73,24,4.24,3.49,0.5483,42.0
Compact Track Loader,259D3,SITE_034,Summer,South,3,30,18,10.08,2.46,0.8037,32.0
Motor Grader,140,SITE_032,Summer,East,3,87,15,9.19,3.1,0.748,32.0
Bulldozer,D8,SITE_043,Monsoon,South,10,64,30,5.2,1.82,0.7411,37.0
Bulldozer,D8,SITE_018,Winter,West,10,47,39,4.47,2.22,0.6686,50.0
Bulldozer,D6,SITE_042,Monsoon,West,11,63,32,10.12,2.79,0.7837,36.0
Compact Track Loader,259D3,SITE_007,Monsoon,West,1,32,22,6.68,2.56,0.7233,26.0
Wheel Loader,966,SITE_026,Summer,West,11,46,12,6.49,3.16,0.6727,47.0
Motor Grader,140,SITE_040,PostMonsoon,East,2,61,48,10.68,1.41,0.8837,44.0
Wheel Loader,966,SITE_019,PostMonsoon,South,11,87,46,5.08,2.87,0.6391,56.0
Excavator,336,SITE_009,Summer,South,1,7,26,8.93,2.79,0.7617,58.0
Excavator,336,SITE_037,Winter,South,3,18,20,6.2,3.42,0.6444,46.0
Excavator,320 GC,SITE_017,Monsoon,West,7,53,13,7.79,3.62,0.6829,33.0
Motor Grader,140,SITE_037,Monsoon,South,6,78,26,10.32,2.94,0.7783,32.0
Backhoe Loader,420,SITE_041,Summer,East,10,22,8,11.0,2.67,0.8048,27.0
Bulldozer,D6,SITE_007,Summer,North,8,65,24,9.57,3.24,0.7473,43.0
Wheel Loader,966,SITE_039,PostMonsoon,East,11,23,15,8.17,1.69,0.8287,44.0
Motor Grader,140,SITE_023,Winter,North,8,10,30,8.63,3.21,0.7287,38.0
Excavator,320 GC,SITE_016,Summer,East,12,72,36,10.09,1.06,0.9046,57.0
Wheel Loader,950 GC,SITE_039,Monsoon,South,1,68,45,8.39,3.62,0.6986,44.0
Compact Track Loader,259D3,SITE_010,Monsoon,West,7,11,2,5.67,1.33,0.8099,17.0
Wheel Loader,966,SITE_018,Monsoon,West,9,54,2,10.37,1.14,0.9013,28.0
Excavator,320 GC,SITE_024,Winter,South,11,43,38,4.63,2.25,0.6725,52.0
Compact Track Loader,259D3,SITE_007,Winter,South,11,78,21,9.86,1.69,0.8536,29.0
Wheel Loader,950 GC,SITE_045,Monsoon,East,11,63,27,4.26,3.87,0.5237,34.0
Bulldozer,D8,SITE_047,PostMonsoon,West,9,26,43,7.61,2.47,0.7546,55.0
Excavator,320 GC,SITE_024,PostMonsoon,South,3,19,48,4.24,3.68,0.5353,55.0
Articulated Truck,745,SITE_003,PostMonsoon,South,9,73,26,9.97,1.11,0.9001,44.0
Articulated Truck,745,SITE_025,Summer,North,11,85,39,5.82,3.17,0.6473,44.0
Bulldozer,D6,SITE_013,Summer,East,8,51,33,7.61,3.72,0.6718,46.0
Wheel Loader,950 GC,SITE_040,Monsoon,South,11,83,46,9.14,2.56,0.7809,42.0
Compact Track Loader,259D3,SITE_013,PostMonsoon,West,9,59,43,4.74,3.1,0.6049,41.0
Motor Grader,140,SITE_005,PostMonsoon,West,10,37,24,4.04,3.46,0.5384,35.0
Excavator,336,SITE_036,Monsoon,East,12,45,3,6.01,2.85,0.6782,32.0
Excavator,320 GC,SITE_041,Summer,South,2,66,25,9.73,1.39,0.8754,55.0
Bulldozer,D6,SITE_029,Monsoon,South,4,74,28,5.16,3.31,0.6092,32.0
Excavator,320 GC,SITE_010,Monsoon,West,6,88,15,10.81,3.91,0.7346,32.0
Motor Grader,140,SITE_029,PostMonsoon,West,6,85,33,9.39,3.05,0.7549,41.0
Backhoe Loader,420,SITE_034,Monsoon,East,4,87,36,7.16,1.49,0.8277,35.0
Wheel Loader,966,SITE_032,Monsoon,North,4,28,12,5.91,3.85,0.6055,33.0
Articulated Truck,745,SITE_028,Summer,West,5,65,21,6.78,1.82,0.7882,40.0
Bulldozer,D8,SITE_015,Monsoon,West,3,70,26,9.0,2.69,0.7701,37.0
Articulated Truck,745,SITE_046,Summer,West,5,14,16,7.18,2.59,0.7347,39.0
Backhoe Loader,420,SITE_003,Winter,East,9,84,8,4.88,3.06,0.6147,23.0
Wheel Loader,966,SITE_009,Monsoon,South,9,66,23,8.07,1.81,0.8171,36.0
Excavator,320 GC,SITE_008,Summer,East,2,44,33,8.6,3.27,0.7244,56.0
Bulldozer,D8,SITE_041,Winter,North,6,57,25,5.02,1.31,0.7933,42.0
Bulldozer,D8,SITE_022,Winter,South,1,80,41,4.07,1.98,0.6727,48.0
Excavator,336,SITE_033,Summer,West,1,83,27,6.78,1.4,0.829,65.0
Excavator,336,SITE_015,Monsoon,East,7,50,41,8.46,3.12,0.7305,49.0
Bulldozer,D8,SITE_009,Monsoon,West,7,38,42,8.96,3.61,0.7127,45.0
Motor Grader,140,SITE_011,Winter,South,4,12,23,7.17,2.93,0.7097,34.0
Compact Track Loader,259D3,SITE_042,Monsoon,North,2,18,24,8.55,2.44,0.7782,25.0
Wheel Loader,966,SITE_045,Winter,West,7,59,33,7.49,2.67,0.7374,49.0
Excavator,336,SITE_019,Monsoon,West,8,65,4,4.57,2.21,0.6741,32.0
Excavator,320 GC,SITE_007,Winter,West,5,37,25,6.98,2.04,0.774,40.0
Wheel Loader,966,SITE_024,Monsoon,West,3,42,35,7.41,3.62,0.6717,41.0
Backhoe Loader,420,SITE_012,PostMonsoon,West,2,46,22,9.13,1.39,0.8675,37.0
Articulated Truck,745,SITE_036,Winter,East,7,48,45,6.61,2.54,0.7226,42.0
Compact Track Loader,259D3,SITE_047,Monsoon,South,7,8,40,5.14,2.17,0.703,33.0
Compact Track Loader,259D3,SITE_028,Monsoon,North,5,11,2,9.41,1.39,0.8711,20.0
Backhoe Loader,420,SITE_003,Monsoon,East,10,16,13,9.8,2.29,0.8104,25.0
Wheel Loader,966,SITE_008,PostMonsoon,South,1,63,21,6.66,2.82,0.7026,48.0
Excavator,320 GC,SITE_049,Winter,South,8,34,48,10.08,1.62,0.8617,49.0
Wheel Loader,966,SITE_050,Monsoon,East,9,43,21,4.36,2.92,0.599,33.0
Bulldozer,D6,SITE_033,Summer,North,12,26,25,8.8,1.05,0.8932,44.0
Compact Track Loader,259D3,SITE_050,Summer,West,7,62,48,7.65,2.03,0.7905,43.0
Wheel Loader,966,SITE_016,Monsoon,East,12,14,22,4.66,3.02,0.6068,35.0
Bulldozer,D8,SITE_005,PostMonsoon,East,2,71,27,6.62,1.05,0.8628,50.0
Articulated Truck,745,SITE_049,Winter,North,8,52,5,8.74,1.65,0.8414,27.0
Bulldozer,D6,SITE_048,Summer,West,10,68,29,5.12,2.81,0.645,46.0
Compact Track Loader,259D3,SITE_048,Summer,West,5,83,32,9.17,3.64,0.7161,37.0
Bulldozer,D8,SITE_046,Winter,East,3,76,35,9.34,3.39,0.7334,48.0
Articulated Truck,745,SITE_007,Summer,West,1,82,8,7.94,2.14,0.7877,35.0
Compact Track Loader,259D3,SITE_033,Summer,South,1,41,45,4.1,2.76,0.5977,43.0
Excavator,336,SITE_046,Summer,North,5,32,9,7.63,2.44,0.758,51.0
Bulldozer,D6,SITE_029,Monsoon,West,12,11,35,7.69,1.74,0.8156,33.0
Motor Grader,140,SITE_006,Monsoon,East,12,49,46,9.76,2.29,0.8097,38.0
Bulldozer,D6,SITE_015,Summer,South,11,57,16,5.38,2.44,0.6882,39.0
Wheel Loader,966,SITE_048,Summer,South,11,35,48,7.73,2.74,0.738,61.0
Backhoe Loader,420,SITE_036,Monsoon,East,2,55,14,6.89,1.37,0.8347,26.0
Backhoe Loader,420,SITE_039,Summer,North,7,69,43,5.3,3.75,0.5853,40.0
Wheel Loader,966,SITE_004,Monsoon,North,6,7,45,4.3,2.9,0.5975,45.0
Bulldozer,D8,SITE_021,Monsoon,South,9,32,10,8.53,1.52,0.8483,32.0
Compact Track Loader,259D3,SITE_042,Winter,South,1,32,28,9.46,1.82,0.8384,32.0
