equipment_type,model,equipment_age,engine_hours_per_day,idle_hours_per_day,fuel_level,engine_temperature,battery_voltage,days_since_last_service,fault_code_count,total_operating_hours,target_maintenance_probability,target_days_until_service,target_confidence
Motor Grader,140,4,13.41,4.53,63.88,76.68,11.97,92,4,7412.82,0.2957,62.6,0.8717
Bulldozer,D8,9,5.49,3.87,22.55,90.76,12.6,194,5,9529.52,0.5079,44.4,0.981
Compact Track Loader,259D3,3,12.32,4.24,50.54,72.4,14.33,18,1,4932.29,0.1116,78.3,0.7783
Wheel Loader,950 GC,1,5.11,4.14,38.05,87.6,13.14,195,1,9414.03,0.285,65.5,0.8727
Articulated Truck,745,7,8.25,5.79,86.01,104.42,13.12,284,1,11600.44,0.5203,44.3,0.9794
Compact Track Loader,259D3,7,7.08,2.67,36.41,72.42,12.1,167,2,9369.61,0.3471,58.5,0.902
Compact Track Loader,259D3,7,12.2,2.97,18.59,83.12,13.51,297,2,7299.92,0.5182,40.8,0.99
Wheel Loader,950 GC,1,10.66,1.8,33.05,73.21,13.63,46,3,1740.75,0.177,74.2,0.8032
Wheel Loader,966,4,12.89,1.87,46.93,94.67,12.19,164,6,3832.14,0.4764,48.9,0.9884
Wheel Loader,966,11,5.89,1.17,42.07,99.2,12.32,287,5,505.98,0.7082,24.2,0.8649
Bulldozer,D8,8,8.41,3.17,72.32,90.08,12.23,164,7,6918.17,0.5406,41.1,0.9672
Motor Grader,140,2,10.55,1.31,99.8,80.0,14.43,224,5,880.08,0.4574,50.7,0.9602
Excavator,336,5,7.87,5.92,31.78,102.16,13.78,127,0,8874.49,0.3104,60.0,0.8921
Excavator,320 GC,9,5.85,1.53,13.67,89.73,13.53,151,3,7919.49,0.445,50.8,0.9578
Motor Grader,140,2,12.05,4.22,76.17,78.27,13.12,103,6,8089.82,0.3747,58.2,0.9088
Bulldozer,D6,5,12.59,1.54,35.1,93.01,14.04,156,5,9468.57,0.4357,49.8,0.9637
Articulated Truck,745,4,12.78,3.84,10.83,85.04,13.49,198,5,5656.88,0.4684,47.3,0.9764
Articulated Truck,745,7,10.65,2.19,58.83,97.26,13.41,26,5,7283.51,0.3057,62.5,0.8876
Articulated Truck,745,11,7.21,2.43,68.06,102.07,14.09,151,3,779.63,0.4754,47.9,0.983
Compact Track Loader,259D3,5,13.14,2.86,97.0,100.91,14.06,195,4,4928.62,0.5134,43.1,0.99
Excavator,336,9,6.74,5.14,93.7,84.11,12.13,155,1,3422.88,0.3103,60.3,0.8907
Backhoe Loader,420,7,7.04,1.91,65.04,74.45,11.52,40,4,2734.15,0.3197,61.0,0.885
Wheel Loader,950 GC,7,2.33,3.68,49.46,92.16,12.48,190,6,11791.17,0.5372,41.9,0.9812
Bulldozer,D6,1,11.93,1.99,96.87,85.72,14.03,51,2,7830.44,0.1094,77.1,0.7675
Excavator,320 GC,8,5.25,2.91,17.06,72.76,14.39,283,6,8503.7,0.6312,32.7,0.9166
Bulldozer,D8,9,9.92,2.04,95.94,104.14,13.16,282,4,5325.4,0.6698,28.6,0.8853
Bulldozer,D6,6,2.17,1.14,14.14,73.22,14.07,208,7,1625.09,0.5153,42.1,0.9883
Motor Grader,140,10,9.39,3.99,14.08,83.24,13.38,100,0,6702.84,0.2167,72.0,0.8455
Motor Grader,140,2,2.32,3.72,94.62,89.26,12.66,37,0,9828.85,0.0771,84.8,0.7513
Excavator,336,3,9.42,2.35,69.02,93.56,13.54,119,0,6204.43,0.1975,70.7,0.8318
Articulated Truck,745,4,7.02,5.82,59.32,94.7,13.21,231,0,8913.95,0.3121,61.1,0.8977
Bulldozer,D6,1,10.16,4.57,31.44,83.33,13.1,88,7,4980.61,0.3822,54.7,0.9264
Wheel Loader,966,9,12.17,2.45,96.11,92.3,12.95,148,4,1554.6,0.4576,52.0,0.9712
Bulldozer,D6,10,13.69,5.98,15.03,94.11,13.14,150,6,2144.4,0.53,43.2,0.99
Bulldozer,D8,7,7.11,1.72,45.7,108.76,11.94,33,4,3182.12,0.4348,51.2,0.9577
Motor Grader,140,9,9.1,2.43,73.74,86.45,12.63,171,2,3360.33,0.3962,53.3,0.9189
Excavator,336,10,10.89,4.72,84.05,104.33,13.54,194,0,4811.01,0.4584,48.1,0.9773
Bulldozer,D6,4,8.65,5.83,57.08,90.88,13.59,5,4,8514.64,0.2061,73.6,0.8166
Backhoe Loader,420,8,6.73,1.09,40.21,77.09,13.44,140,1,3138.04,0.2849,62.4,0.8677
Excavator,320 GC,9,5.71,4.98,71.63,76.88,14.23,257,5,11422.7,0.5666,40.1,0.9748
Excavator,336,10,13.19,5.26,14.07,82.79,12.63,69,1,11853.68,0.2489,66.0,0.8528
Excavator,320 GC,1,7.62,2.78,34.61,73.69,14.09,201,6,9123.97,0.4703,47.9,0.99
Bulldozer,D6,5,11.08,2.58,31.7,78.15,12.25,177,4,2883.12,0.4257,52.4,0.9554
